requirement_text,primary_service,service_category,complexity_level,deployment_scenario,keywords_extracted,reference_url
"Design isolated virtual networks with control over IP addressing, subnets, and routing policies. This requirement comes from a startup environment with low complexity and focuses on subnet-centric operations.",Amazon VPC,Networking,Low,Startup,subnet,https://aws.amazon.com/vpc/
Provide highly available network file storage for containerised workloads. This requirement comes from a startup environment with high complexity and focuses on store-centric operations.,Amazon EFS,Storage,High,Startup,store,https://aws.amazon.com/efs/
Protect web applications by integrating with security services at the content delivery edge. This requirement comes from a migration environment with low complexity and focuses on routing-centric operations.,Amazon CloudFront,Networking,Low,Migration,routing,https://aws.amazon.com/cloudfront/
Centralise and automate backup policies across multiple AWS data stores. This requirement comes from a multi-region environment with low complexity and focuses on object-centric operations.,AWS Backup,Storage,Low,Multi-Region,object,https://aws.amazon.com/backup/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a startup environment with medium complexity and focuses on sql-centric operations.,Amazon ElastiCache,Database,Medium,Startup,sql,https://aws.amazon.com/elasticache/
Scale read-heavy applications using multiple low-latency read replicas. This requirement comes from a analytics pipeline environment with high complexity and focuses on cache-centric operations.,Amazon Aurora,Database,High,Analytics Pipeline,cache,https://aws.amazon.com/rds/aurora/
Deploy microservices-based architectures using managed container orchestration. This requirement comes from a startup environment with high complexity and focuses on vm-centric operations.,AWS Fargate,Compute,High,Startup,vm,https://aws.amazon.com/fargate/
Filter and block malicious requests at the edge before they reach application servers. This requirement comes from a multi-region environment with high complexity and focuses on access-centric operations.,AWS WAF,Security,High,Multi-Region,access,https://aws.amazon.com/waf/
Scale read-heavy applications using multiple low-latency read replicas. This requirement comes from a iot system environment with high complexity and focuses on database-centric operations.,Amazon Aurora,Database,High,IoT System,database,https://aws.amazon.com/rds/aurora/
"Support HTTP, HTTPS, and TCP load balancing for web and microservice architectures. This requirement comes from a multi-region environment with low complexity and focuses on subnet-centric operations.",Elastic Load Balancing,Networking,Low,Multi-Region,subnet,https://aws.amazon.com/elasticloadbalancing/
Run high-performance relational databases compatible with MySQL or PostgreSQL. This requirement comes from a migration environment with high complexity and focuses on database-centric operations.,Amazon Aurora,Database,High,Migration,database,https://aws.amazon.com/rds/aurora/
Manage serverless NoSQL databases that scale automatically with request volume. This requirement comes from a enterprise environment with medium complexity and focuses on sql-centric operations.,Amazon DynamoDB,Database,Medium,Enterprise,sql,https://aws.amazon.com/dynamodb/
Deploy and manage web applications without manually configuring the underlying infrastructure. This requirement comes from a enterprise environment with high complexity and focuses on run-centric operations.,Elastic Beanstalk,Compute,High,Enterprise,run,https://aws.amazon.com/elasticbeanstalk/
Provision and operate managed relational databases with automated backups and patching. This requirement comes from a startup environment with high complexity and focuses on key-value-centric operations.,Amazon RDS,Database,High,Startup,key-value,https://aws.amazon.com/rds/
Accelerate media streaming and software distribution workloads worldwide. This requirement comes from a enterprise environment with high complexity and focuses on edge-centric operations.,Amazon CloudFront,Networking,High,Enterprise,edge,https://aws.amazon.com/cloudfront/
"Provide durable, cost-optimised object storage for application data and backups. This requirement comes from a migration environment with low complexity and focuses on archive-centric operations.",Amazon S3,Storage,Low,Migration,archive,https://aws.amazon.com/s3/
Simplify deployment pipelines for developers using familiar language runtimes. This requirement comes from a multi-region environment with medium complexity and focuses on deploy-centric operations.,Elastic Beanstalk,Compute,Medium,Multi-Region,deploy,https://aws.amazon.com/elasticbeanstalk/
Attach persistent block storage volumes to virtual machine instances for transactional workloads. This requirement comes from a startup environment with high complexity and focuses on backup-centric operations.,Amazon EBS,Storage,High,Startup,backup,https://aws.amazon.com/ebs/
Run containerised applications without managing server infrastructure or clusters. This requirement comes from a analytics pipeline environment with low complexity and focuses on deploy-centric operations.,AWS Fargate,Compute,Low,Analytics Pipeline,deploy,https://aws.amazon.com/fargate/
Scale read-heavy applications using multiple low-latency read replicas. This requirement comes from a iot system environment with medium compleixty and focuses on database-centric operations.,Amazon Aurora,Database,Medium,IoT System,database,https://aws.amazon.com/rds/aurora/
Provide SSD-backed storage for performance-sensitive compute tasks. This requirement comes from a enterprise environment with medium complexity and focuses on archive-centric operations.,Amazon EBS,Storage,Medium,Enterprise,archive,https://aws.amazon.com/ebs/
Distribute incoming client traffic across multiple healthy application instances. This requirement comes from a migration environment with medium complexity and focuses on edge-centric operations.,Elastic Load Balancing,Networking,Medium,Migration,edge,https://aws.amazon.com/elasticloadbalancing/
Host legacy enterprise workloads that require persistent compute instances. This requirement comes from a startup environment with high complexity and focuses on deploy-centric operations.,Amazon EC2,Compute,High,Startup,deploy,https://aws.amazon.com/ec2/
Meet compliance requirements through scheduled backups and retention rules. This requirement comes from a multi-region environment with high complexity and focuses on store-centric operations.,AWS Backup,Storage,High,Multi-Region,store,https://aws.amazon.com/backup/
Create and manage cryptographic keys used to encrypt data at rest and in transit. This requirement comes from a multi-region environment with low complexity and focuses on firewall-centric operations.,AWS KMS,Security,Low,Multi-Region,firewall,https://aws.amazon.com/kms/
Enforce least-privilege principles across AWS accounts and workloads. This requirement comes from a iot system environment with low complexity focuses on access-centric operations.,AWS IAM,Security,Low,IoT System,access,https://aws.amazon.com/iam/
"Support HTTP, HTTPS, and TCP load balancing for web and microservice architectures. This requirement comes from a multi-region environment with high complexity and focuses on subnet-centric operations.",Elastic Load Balancing,Networking,High,Multi-Region,subnet,https://aws.amazon.com/elasticloadbalancing/
Scale container workloads on demand based on incoming traffic patterns. This requirement comes from a analytics pipeline environment with medium complexity and focuses on microservices-centric operations.,AWS Fargate,Compute,Medium,Analytics Pipeline,microservices,https://aws.amazon.com/fargate/
Simplify deployment pipelines for developers using familiar language runtimes. This requirement comes from a migration environment with high complexity and focuses on vm-centric operations.,Elastic Beanstalk,Compute,High,Migration,vm,https://aws.amazon.com/elasticbeanstalk/
Support transactional applications that require SQL-based data access. This requirement comes from a environmetn with low complexity and focuses on cache-centric operations.,Amazon RDS,Database,Low,Migration,cache,https://aws.amazon.com/rds/
Implement health-checked DNS failover to improve application resilience. This requirement comes from a analytics pipeline environment with high complexity and focuses on subnet-centric operations.,Amazon Route 53,Networking,High,Analytics Pipeline,subnet,https://aws.amazon.com/route53/
Store and retrieve large volumes of unstructured objects such as media files and This requirement comes from a migration environment with low complexity and focuses on backup-centric operations.,Amazon S3,Storage,Low,Migration,backup,https://aws.amazon.com/s3/
kinda Protect application data by orchestrating backups for storage and databases. This requirement comes from a multi-region environment with low complexity and focuses on archive-centric operations.,AWS Backup,Storage,Low,Multi-Region,archive,https://aws.amazon.com/backup/
Manage serverless NoSQL databases that scale automatically with request volume. This requirement comes from a enterprise environment with high complexity and focuses on sql-centric operations.,Amazon DynamoDB,Database,High,Enterprise,sql,https://aws.amazon.com/dynamodb/
Scale read-heavy applications using multiple low-latency read replicas. This requirement comes from a multi-region environment with medium complexity and focuses on database-centric operations.,Amazon Aurora,Database,Medium,Multi-Region,database,https://aws.amazon.com/rds/aurora/
Distribute incoming client traffic across multiple healthy application instances. This requirement comes from a migration environment with medium complexity and focuses on edge-centric operations.,Elastic Load Balancing,Networking,Medium,Migration,edge,https://aws.amazon.com/elasticloadbalancing/
Centralise key management for compliance-sensitive workloads in the cloud. This requirement comes from a iot system environment with low complexity and focuses on identity-centric operations.,AWS KMS,Security,Low,IoT System,identity,https://aws.amazon.com/kms/
Provide high-availability relational database instances with read replicas. This requirement comes from a enterprise environment with high complexity and focuses on cache-centric operations.,Amazon RDS,Database,High,Enterprise,cache,https://aws.amazon.com/rds/
Improve application performance using in-memory caching of frequently accessed data. This requirement comes from a enterprise environment with low complexity and focuses on key-value-centric operations.,Amazon ElastiCache,Database,Low,Enterprise,key-value,https://aws.amazon.com/elasticache/
Provide high-availability relational database instances with read replicas. This requirement comes from a startup environment with high complexity and focuses on cache-centric operations.,Amazon RDS,Database,High,Startup,cache,https://aws.amazon.com/rds/
Provide SSD-backed storage for performance-sensitive compute tasks. This requirement comes from a startup environment with high complexity and focuses on archive-centric operations.,Amazon EBS,Storage,High,Startup,archive,https://aws.amazon.com/ebs/
Implement health-checked DNS failover to improve application resilience. This requirement comes from a migration environment with low complexity and focuses on routing-centric operations.,Amazon Route 53,Networking,Low,Migration,routing,https://aws.amazon.com/route53/
Create and manage cryptographic keys used to encrypt data at rest and in transit. This requirement comes from a startup environment with low complexity and focuses on secrets-centric operations.,AWS KMS,Security,Low,Startup,secrets,https://aws.amazon.com/kms/
Simplify deployment pipelines for developers using familiar language runtimes. This requirement comes from a multi-region environment with low complexity and focuses on run-centric operations.,Elastic Beanstalk,Compute,Low,Multi-Region,run,https://aws.amazon.com/elasticbeanstalk/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a enterprise environment with low complexity and focuses on key-value-centric operations.,Amazon ElastiCache,Database,Low,Enterprise,key-value,https://aws.amazon.com/elasticache/
Store and retrieve large volumes of unstructured objects such as media files and logs. This requirement comes from a migration environment with high complexity and focuses on object-centric operations.,Amazon S3,Storage,High,Migration,object,https://aws.amazon.com/s3/
"Support flexible schema requirements for user profiles, IoT telemetry, and session data. This requirement comes from a analytics pipeline environment with low complexity and focuses on database-centric operations.",Amazon DynamoDB,Database,Low,Analytics Pipeline,database,https://aws.amazon.com/dynamodb/
